지역코드	지역명	2차 지역코드	1차 지역코드
111210	청송군	111210	111000
111220	칠곡군	111220	111000
111230	포항시	111230	111000
111240	포항시 남구	111240	111000
111250	포항시 북구	111250	111000
112000	전남전체	112000	112000
112010	강진군	112010	112000
112020	고흥군	112020	112000
112030	곡성군	112030	112000
112040	광양시	112040	112000
112050	구례군	112050	112000
112060	나주시	112060	112000
112070	담양군	112070	112000
112080	목포시	112080	112000
112090	무안군	112090	112000
112100	보성군	112100	112000
112110	순천시	112110	112000
112120	신안군	112120	112000
112130	여수시	112130	112000
112140	영광군	112140	112000
112150	영암군	112150	112000
112160	완도군	112160	112000
112170	장성군	112170	112000
112180	장흥군	112180	112000
112190	진도군	112190	112000
112200	함평군	112200	112000
112210	해남군	112210	112000
112220	화순군	112220	112000
113000	전북전체	113000	113000
113010	고창군	113010	113000
113020	군산시	113020	113000
113030	김제시	113030	113000
113040	남원시	113040	113000
113050	무주군	113050	113000
113060	부안군	113060	113000
113070	순창군	113070	113000
113080	완주군	113080	113000
113090	익산시	113090	113000
113100	임실군	113100	113000
113110	장수군	113110	113000
113120	전주시	113120	113000
113130	전주시 덕진구	113130	113000
113140	전주시 완산구	113140	113000
113150	정읍시	113150	113000
113160	진안군	113160	113000
114000	충북전체	114000	114000
114010	괴산군	114010	114000
114020	단양군	114020	114000
114030	보은군	114030	114000
114040	영동군	114040	114000
114050	옥천군	114050	114000
114060	음성군	114060	114000
114070	제천시	114070	114000
114080	증평군	114080	114000
114090	진천군	114090	114000
114100	청원군	114100	114000
114110	청주시	114110	114000
114120	청주시 상당구	114120	114000
114130	청주시 흥덕구	114130	114000
114140	충주시	114140	114000
114150	청주시 청원구	114150	114000
114160	청주시 서원구	114160	114000
115000	충남전체	115000	115000
115010	계룡시	115010	115000
115020	공주시	115020	115000
115030	금산군	115030	115000
115040	논산시	115040	115000
115050	당진시	115050	115000
115060	보령시	115060	115000
115070	부여군	115070	115000
115080	서산시	115080	115000
115090	서천군	115090	115000
115100	아산시	115100	115000
115110	연기군	115110	115000
115120	예산군	115120	115000
115130	천안시	115130	115000
115133	천안시 동남구	115133	115000
115135	천안시 서북구	115135	115000
115140	청양군	115140	115000
115150	태안군	115150	115000
115160	홍성군	115160	115000
116000	제주전체	116000	116000
116030	서귀포시	116030	116000
116040	제주시	116040	116000
117000	전국	117000	117000
118000	세종특별자치시	118000	118000
210000	아시아·중동전체	210000	210000
210100	대만	210100	210000
210200	말레이시아	210200	210000
210300	몽골	210300	210000
210400	미얀마	210400	210000
210500	방글라데시	210500	210000
210600	베트남	210600	210000
210700	사우디아라비아	210700	210000
210800	스리랑카	210800	210000
210900	싱가포르	210900	210000
211000	인도	211000	210000
211100	인도네시아	211100	210000
211200	일본	211200	210000
211201	가가와	211200	210000
211202	가고시마	211200	210000
211203	고베	211200	210000
211204	고치	211200	210000
211205	교토	211200	210000
211206	구마모토	211200	210000
211207	군마	211200	210000
